ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery
2000,2000,2000,0.208864
2000,2000,2000,0.835648
2000,2000,2000,0.208864
2000,2000,2000,0.626720
2000,2000,2000,0.045553
2000,2000,2000,0.835648
2000,2000,2000,0.208864
2000,2000,2000,0.929353
2000,2000,2000,0.208864
2000,2000,2000,0.452027
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.225792
2000,2000,2000,0.703873
2000,2000,2000,0.208864
2000,2000,2000,0.291801
2000,2000,2000,0.205879
2000,2000,2000,0.845889
2000,2000,2000,0.835648
2000,2000,2000,0.409424
2000,2000,2000,0.417792
2000,2000,2000,0.197146
2000,2000,2000,0.217296
2000,2000,2000,0.208864
2000,2000,2000,0.408463
2000,2000,2000,0.523010
2000,2000,2000,0.426288
2000,2000,2000,0.208864
2000,2000,2000,0.876181
2000,2000,2000,0.208864
2000,2000,2000,0.956865
2000,2000,2000,0.476043
2000,2000,2000,0.400432
2000,2000,2000,0.208864
2000,2000,2000,0.626720
2000,2000,2000,0.173145
2000,2000,2000,0.635152
2000,2000,2000,0.871976
2000,2000,2000,0.409424
2000,2000,2000,0.090613
2000,2000,2000,0.208864
2000,2000,2000,0.408928
2000,2000,2000,0.212643
2000,2000,2000,0.835648
2000,2000,2000,0.145713
2000,2000,2000,0.409424
2000,2000,2000,0.333586
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.966806
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.300145
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.889857
2000,2000,2000,0.918890
2000,2000,2000,0.193139
2000,2000,2000,0.225792
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.835648
2000,2000,2000,0.626720
2000,2000,2000,0.409424
2000,2000,2000,0.208864
2000,2000,2000,0.392516
2000,2000,2000,0.950605
2000,2000,2000,0.832966
2000,2000,2000,0.339859
2000,2000,2000,0.298976
2000,2000,2000,0.208864
2000,2000,2000,0.373198
2000,2000,2000,0.208864
2000,2000,2000,0.626720
2000,2000,2000,0.183756
2000,2000,2000,0.835648
2000,2000,2000,0.208864
2000,2000,2000,0.368993
2000,2000,2000,0.474283
2000,2000,2000,0.217296
2000,2000,2000,0.869341
2000,2000,2000,0.409424
2000,2000,2000,0.626720
2000,2000,2000,0.861040
2000,2000,2000,0.609296
2000,2000,2000,0.217296
2000,2000,2000,0.835648
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.524601
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.814345
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.793979
2000,2000,2000,0.237033
2000,2000,2000,0.208864
2000,2000,2000,0.766690
2000,2000,2000,0.208864
2000,2000,2000,0.626720
2000,2000,2000,0.217296
2000,2000,2000,0.073419
2000,2000,2000,0.208864
