ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery
5000,10000,5000,0.642995
2000,1000,2000,0.208864
2000,1000,2000,0.185209
2000,1000,2000,0.208864
2000,0,2000,0.208864
2000,1000,2000,0.029760
2000,1000,2000,0.179053
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.155550
2000,1000,2000,0.129268
2000,1000,2000,0.835648
2000,0,2000,0.031639
2000,1000,2000,0.208864
2000,1000,2000,0.744463
2000,0,2000,0.217296
2000,1000,2000,0.045457
2000,1000,2000,0.045457
2000,1000,2000,0.141417
2000,1000,2000,0.217296
2000,0,2000,0.277214
2000,1000,2000,0.208864
2000,0,2000,0.101418
2000,1000,2000,0.208864
2000,0,2000,0.025108
2000,1000,2000,0.048147
2000,0,2000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.013898
5500,11000,5500,0.443024
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.217296
2000,1000,2000,0.111922
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.141577
2000,1000,2000,0.421176
2000,0,2000,0.003816
5500,11000,5500,0.407712
2000,1000,2000,0.208864
2000,1000,2000,0.906058
2000,1000,2000,0.951417
2000,0,2000,0.202000
2000,1000,2000,0.128865
2000,1000,2000,0.154248
2000,1000,2000,0.095661
2000,1000,2000,0.155056
2000,1000,2000,0.217296
2000,1000,2000,0.101028
2000,0,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.479265
2000,1000,2000,0.208864
2000,0,2000,0.031698
2000,1000,2000,0.208864
2000,0,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.028272
2000,1000,2000,0.835648
2000,1000,2000,0.217296
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.202526
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.041649
2000,1000,2000,0.190939
2000,0,2000,0.208864
2000,1000,2000,0.181509
2000,1000,2000,0.281015
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.208864
2000,1000,2000,0.144488
2000,0,2000,0.244467
2000,1000,2000,0.183242
2000,0,2000,0.100719
5500,11000,5500,0.669053
2000,1000,2000,0.208864
2000,1000,2000,0.315475
2000,0,2000,0.208864
2000,1000,2000,0.048511
5500,11000,5500,0.400736
2000,1000,2000,0.139784
2000,0,2000,0.014634
2000,1000,2000,0.208864
2000,1000,2000,0.163731
2000,0,2000,0.036495
2000,0,2000,0.061081
2000,1000,2000,0.163438
2000,1000,2000,0.290518
2000,1000,2000,0.208864
2000,1000,2000,0.184586
2000,1000,2000,0.208864
2000,1000,2000,0.071615
2000,0,2000,0.185630
2000,1000,2000,0.142840
2000,1000,2000,0.037956
2000,0,0,0.217296
5500,11000,5500,0.225664
2000,1000,2000,0.208864
2000,1000,2000,0.117592
2000,1000,2000,0.208864
2000,1000,2000,0.488571
2000,0,2000,0.096868
2000,0,2000,0.098664
2000,1000,2000,0.208864
2000,1000,2000,0.479234
5000,10000,5000,0.208864
2000,1000,2000,0.059748
2000,1000,2000,0.037297
2000,0,2000,0.047626
2000,1000,2000,0.079132
2000,0,2000,0.029251
5000,10000,5000,0.208864
2000,0,2000,0.231396
2000,1000,2000,0.408864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.177770
2000,0,2000,0.101104
2000,1000,2000,0.208864
2000,1000,2000,0.185851
2000,0,2000,0.037098
2000,0,2000,0.208864
2000,0,2000,0.151811
2000,1000,2000,0.868335
2000,1000,2000,0.462585
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.373561
2000,1000,2000,0.208864
2000,1000,2000,0.185782
2000,0,2000,0.085304
2000,1000,2000,0.499160
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.031090
