ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery
2000,2000,2000,0.472704
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.626720
2000,2000,2000,0.431401
2000,2000,2000,0.410261
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.750270
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.225792
2000,2000,2000,0.703444
2000,2000,2000,0.208864
2000,2000,2000,0.292855
2000,2000,2000,0.208864
2000,2000,2000,0.843405
2000,2000,2000,0.207858
2000,2000,3000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.225728
2000,2000,2000,0.531950
2000,2000,2000,0.501035
2000,2000,2000,0.426224
2000,2000,2000,0.713535
2000,2000,2000,0.803162
2000,2000,2000,0.225728
2000,2000,2000,0.895975
2000,2000,2000,0.392831
2000,2000,2000,0.523460
2000,2000,2000,0.426288
2000,2000,2000,0.208864
2000,2000,2000,0.875778
2000,2000,2000,0.208864
2000,2000,2000,0.956406
2000,2000,2000,0.476043
2000,2000,2000,0.400432
2000,2000,3000,0.208864
2000,2000,2000,0.626720
2000,2000,3000,0.173145
2000,2000,0,0.635152
2000,2000,2000,0.872651
2000,2000,2000,0.409424
2000,2000,2000,0.090613
2000,2000,2000,0.208864
2000,2000,2000,0.408928
2000,2000,3000,0.212643
2000,2000,2000,0.835648
2000,2000,3000,0.145713
2000,2000,2000,0.409424
2000,2000,2000,0.333586
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.966806
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.300762
2000,2000,0,0.844144
2000,2000,2000,0.816388
2000,2000,2000,0.425728
2000,2000,2000,0.208864
2000,2000,2000,0.337599
2000,2000,2000,0.225792
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.835648
2000,2000,2000,0.626720
2000,2000,2000,0.409424
2000,2000,2000,0.208864
2000,2000,2000,0.392239
2000,2000,2000,0.949654
2000,2000,2000,0.834306
2000,2000,2000,0.340183
2000,2000,2000,0.298112
2000,2000,2000,0.208864
2000,2000,2000,0.367383
2000,2000,2000,0.208864
2000,2000,2000,0.484766
2000,2000,2000,0.079783
2000,2000,2000,0.208864
2000,2000,2000,0.390270
2000,2000,2000,0.479742
2000,2000,2000,0.217296
2000,2000,2000,0.158625
2000,2000,2000,0.225792
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.760774
2000,2000,2000,0.835648
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.524601
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.814345
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.793979
2000,2000,2000,0.237033
2000,2000,2000,0.208864
2000,2000,2000,0.766690
2000,2000,2000,0.208864
2000,2000,2000,0.626720
2000,2000,2000,0.217296
2000,2000,2000,0.073419
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.434720
2000,2000,2000,0.490448
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.911304
2000,2000,2000,0.217296
2000,2000,2000,0.136476
2000,2000,2000,0.433732
2000,2000,2000,0.859977
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.835648
2000,2000,2000,0.208864
2000,2000,2000,0.609296
2000,2000,2000,0.208864
2000,2000,2000,0.464101
2000,2000,2000,0.286766
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.821182
2000,2000,2000,0.696703
2000,2000,2000,0.208864
2000,2000,2000,0.315421
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.417792
2000,2000,2000,0.208864
2000,2000,2000,0.543225
2000,2000,3000,0.083625
2000,2000,2000,0.203501
2000,2000,2000,0.626720
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
