ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery
7000,14000,3000,0.584624
2000,2000,3000,0.208864
2000,0,2000,0.006175
2000,1000,2000,0.054543
2000,1000,1000,0.626720
2000,0,2000,0.057930
2000,2000,3000,0.348701
2000,1000,1000,0.835648
2000,0,2000,0.144891
2000,0,2000,0.027275
2000,2000,3000,0.208864
2000,1000,2000,0.208864
2000,2000,3000,0.143071
6000,12000,7000,0.273785
2000,1000,2000,0.088103
2000,2000,3000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.184115
2000,2000,3000,0.449212
2000,0,2000,0.039788
2000,1000,2000,0.018924
2000,2000,1000,0.417792
2000,1000,1000,0.217296
2000,1000,2000,0.208864
2000,0,2000,0.101263
2000,0,2000,0.101263
2000,1000,2000,0.192062
2000,1000,2000,0.208864
2000,0,2000,0.092013
2000,0,2000,0.095227
2000,2000,3000,0.368520
2000,0,1000,0.208864
2000,0,2000,0.100752
2000,1000,2000,0.208864
5500,11000,6000,0.407712
2000,2000,3000,0.208864
2000,1000,1000,0.408864
2000,0,2000,0.074283
2000,1000,1000,0.932372
2000,1000,2000,0.208864
2000,0,2000,0.052822
2000,1000,2000,0.037531
2000,0,2000,0.053575
2000,1000,2000,0.208864
2000,2000,1000,0.225792
2000,0,2000,0.101759
2000,0,2000,0.104809
2000,2000,3000,0.217296
2000,1000,2000,0.149548
2000,2000,3000,0.208864
2000,0,2000,0.065342
2000,0,2000,0.081956
2000,1000,2000,0.874031
2000,1000,2000,0.306837
2000,0,2000,0.097401
2000,1000,2000,0.208864
2000,0,2000,0.074704
2000,0,2000,0.109678
2000,2000,3000,0.208864
2000,0,2000,0.021507
2000,2000,3000,0.088692
2000,2000,3000,0.208864
2000,0,2000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.063450
2000,2000,3000,0.208864
2000,0,2000,0.038671
2000,1000,2000,0.291589
2000,0,2000,0.073142
2000,2000,1000,0.417792
2000,1000,2000,0.208864
2000,1000,2000,0.135368
2000,1000,1000,0.918067
2000,0,2000,0.096612
2000,1000,1000,0.417792
2000,1000,2000,0.170986
2000,2000,3000,0.140248
2000,1000,1000,0.409360
6500,13000,6000,0.650722
2000,1000,2000,0.208864
2000,0,1000,0.217296
2000,1000,2000,0.208864
2000,0,2000,0.190289
2000,2000,3000,0.208864
2000,0,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.177618
2000,2000,1000,0.827280
2000,2000,2000,0.609792
2000,0,2000,0.021102
2000,1000,2000,0.254242
2000,0,2000,0.161722
2000,1000,2000,0.101771
2000,1000,2000,0.113453
2000,2000,3000,0.208864
6000,12000,3000,0.601488
5500,11000,1000,0.567824
9500,19000,7000,0.401056
2000,2000,3000,0.023952
2000,2000,3000,0.208864
2000,1000,2000,0.085157
2000,1000,2000,0.208864
2000,0,2000,0.093195
2000,0,2000,0.094242
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,2000,3000,0.208864
2000,0,2000,0.063945
7500,15000,5000,0.392560
2000,2000,3000,0.208864
2000,0,2000,0.059718
2000,2000,3000,0.225728
2000,0,2000,0.031166
2000,1000,2000,0.208864
2000,2000,3000,0.208864
2000,2000,3000,0.208864
2000,2000,2000,0.871077
2000,0,2000,0.068811
2000,0,2000,0.103168
2000,2000,3000,0.208864
2000,1000,2000,0.805953
2000,0,2000,0.040251
2000,0,2000,0.097761
2000,0,2000,0.097761
2000,1000,2000,0.208864
2000,0,2000,0.078545
5500,11000,6000,0.225664
2000,0,2000,0.135471
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.069395
2000,0,2000,0.077827
2000,2000,3000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.008243
2000,0,2000,0.081038
2000,0,2000,0.087599
2000,2000,2000,0.775722
2000,2000,3000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.088295
2000,0,2000,0.087708
2000,1000,2000,0.208864
7500,15000,8000,0.225728
2000,0,2000,0.169493
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.111788
2000,1000,2000,0.208864
2000,0,2000,0.094049
2000,2000,3000,0.208864
2000,2000,2000,0.656000
2000,0,2000,0.016984
2000,0,2000,0.033439
2000,0,2000,0.092967
2000,0,2000,0.081797
2000,2000,3000,0.208864
6500,13000,7000,0.443088
2000,1000,2000,0.024259
2000,1000,2000,0.034727
2000,2000,3000,0.217296
2000,0,2000,0.140011
2000,1000,2000,0.257773
2000,0,2000,0.078559
2000,0,2000,0.086991
2000,0,2000,0.092552
2000,2000,2000,0.477032
2000,2000,3000,0.208864
2000,2000,3000,0.408864
2000,0,2000,0.208864
2000,0,2000,0.097600
2000,2000,3000,0.392000
2000,1000,2000,0.208864
2000,0,2000,0.077230
2000,0,2000,0.027982
2000,2000,2000,0.626784
2000,1000,2000,0.792048
2000,0,2000,0.078301
2000,0,2000,0.078301
2000,2000,3000,0.208864
2000,0,2000,0.083142
2000,2000,3000,0.196285
2000,0,2000,0.044599
2000,1000,2000,0.208864
2000,0,2000,0.264269
2000,0,2000,0.065954
2000,2000,2000,0.626784
2000,0,2000,0.052353
2000,0,2000,0.081773
2000,1000,2000,0.208864
2000,0,2000,0.208864
2000,2000,2000,0.843648
2000,0,2000,0.064300
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.120171
2000,2000,3000,0.217296
2000,2000,3000,0.208864
2000,2000,3000,0.091327
2000,0,2000,0.085705
2000,0,2000,0.102387
2000,2000,3000,0.208864
2000,2000,1000,0.835648
2000,1000,2000,0.171473
2000,1000,2000,0.206036
2000,1000,2000,0.208864
2000,2000,3000,0.217296
2000,2000,2000,0.626784
2000,2000,3000,0.208864
2000,2000,3000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.084248
7000,14000,3000,0.610112
2000,2000,3000,0.208864
2000,1000,2000,0.103388
2000,1000,2000,0.090158
2000,2000,1000,0.821370
2000,1000,2000,0.208864
2000,1000,2000,0.883440
2000,0,2000,0.047664
2000,2000,3000,0.208864
2000,0,2000,0.013804
2000,1000,2000,0.208864
2000,1000,2000,0.208864
5000,10000,6000,0.465484
2000,2000,3000,0.208864
2000,0,2000,0.007005
2000,2000,3000,0.208864
2000,0,2000,0.208864
2000,0,2000,0.040946
2000,1000,1000,0.626720
2000,0,2000,0.087217
2000,0,2000,0.078705
2000,1000,2000,0.278735
2000,2000,3000,0.208864
2000,0,2000,0.057747
2000,2000,3000,0.208864
2000,1000,2000,0.119104
2000,1000,2000,0.208864
2000,1000,2000,0.129365
2000,0,2000,0.106683
2000,1000,2000,0.881630
2000,2000,3000,0.208864
2000,0,2000,0.103532
2000,0,2000,0.013262
2000,2000,3000,0.208864
2000,0,2000,0.083813
2000,1000,2000,0.119297
2000,1000,2000,0.171210
2000,0,2000,0.032088
2000,0,2000,0.034657
2000,0,2000,0.086802
2000,1000,2000,0.208864
2000,0,2000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.072344
2000,1000,1000,0.417792
2000,0,2000,0.099193
2000,0,2000,0.271396
2000,2000,1000,0.409424
2000,2000,3000,0.493643
7000,14000,6000,0.251088
2000,1000,2000,0.208864
2000,1000,1000,0.409360
2000,1000,2000,0.255481
2000,2000,3000,0.208864
2000,2000,3000,0.372505
2000,0,2000,0.021423
2000,0,2000,0.109930
2000,0,2000,0.109930
2000,1000,2000,0.208864
2000,2000,3000,0.446121
2000,0,2000,0.093991
2000,1000,2000,0.198147
2000,2000,3000,0.208864
2000,2000,3000,0.208864
2000,2000,3000,0.208864
2000,2000,3000,0.208864
2000,0,2000,0.012797
6500,13000,5000,0.426288
2000,2000,3000,0.208864
2000,0,2000,0.091023
2000,1000,2000,0.208864
2000,2000,3000,0.208864
2000,2000,3000,0.155257
2000,0,2000,0.022763
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.093196
2000,1000,1000,0.956268
2000,1000,2000,0.208864
2000,1000,3000,0.273067
2000,2000,3000,0.477615
