ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery
2000,2000,2000,0.626720
2000,2000,3000,0.208864
2000,2000,3000,0.208864
2000,2000,3000,0.185407
2000,2000,2000,0.364864
2000,2000,2000,0.361941
2000,2000,2000,0.928755
2000,2000,3000,0.208864
2000,2000,2000,0.202302
2000,2000,2000,0.844272
2000,2000,3000,0.208864
2000,2000,3000,0.154992
2000,2000,3000,0.141457
2000,2000,3000,0.208864
2000,2000,3000,0.877430
2000,2000,3000,0.208864
2000,2000,2000,0.426224
2000,2000,2000,0.208864
2000,2000,1000,0.409424
2000,2000,2000,0.626784
2000,2000,3000,0.208864
2000,2000,2000,0.400928
2000,2000,3000,0.208864
2000,2000,3000,0.317084
2000,2000,3000,0.208864
2000,2000,3000,0.208864
2000,2000,3000,0.152744
2000,2000,3000,0.208864
2000,2000,3000,0.225728
2000,2000,1000,0.409424
2000,2000,1000,0.847681
2000,2000,1000,0.626784
2000,2000,3000,0.208864
2000,2000,3000,0.208864
2000,2000,3000,0.466293
2000,2000,1000,0.400928
2000,2000,2000,0.217296
2000,2000,2000,0.835840
2000,2000,2000,0.626720
2000,2000,3000,0.208864
2000,2000,3000,0.208864
2000,2000,2000,1.052860
2000,2000,3000,0.208864
2000,2000,2000,0.217296
2000,2000,2000,0.609792
2000,2000,1000,0.824931
2000,2000,2000,0.208864
2000,2000,3000,0.270474
2000,2000,3000,0.149832
2000,2000,2000,0.899003
2000,2000,2000,0.626784
2000,2000,3000,0.208864
2000,2000,2000,0.426224
2000,2000,3000,0.687470
2000,2000,3000,0.948945
2000,2000,3000,0.208864
2000,2000,3000,0.208864
2000,2000,1000,0.834597
2000,2000,3000,0.208864
2000,2000,3000,0.133806
2000,2000,3000,0.208864
2000,2000,3000,0.208864
2000,2000,3000,0.360338
2000,2000,1000,0.618352
2000,2000,3000,0.208864
2000,2000,3000,8.126090
2000,2000,3000,0.208864
2000,2000,3000,0.208864
2000,2000,3000,0.208864
2000,2000,3000,0.189017
2000,2000,3000,0.208864
2000,2000,2000,0.208864
2000,2000,3000,0.208864
2000,2000,3000,0.160319
2000,2000,1000,0.852576
2000,2000,3000,0.208864
2000,2000,3000,0.208864
2000,2000,1000,0.838732
2000,2000,3000,0.461156
2000,2000,3000,0.217296
2000,2000,3000,0.201635
2000,2000,3000,0.208864
2000,2000,3000,0.203772
2000,2000,2000,0.486755
