ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery
3000,6000,3000,0.620800
2000,3000,4000,0.217232
2000,4000,3000,0.225728
13000,26000,13000,0.276256
2000,4000,4000,0.399650
2000,3000,2000,0.434784
18500,37000,21000,0.262047
2500,5000,4000,0.088604
2000,3000,3000,0.099087
2000,3000,4000,0.033664
2000,3000,2000,0.921559
2000,3000,3000,0.255880
2000,3000,3000,0.211832
11500,23000,7000,0.468448
3500,7000,4000,0.417792
2000,3000,3000,0.320053
2000,3000,3000,0.217296
2000,4000,5000,0.194462
2000,4000,5000,0.200250
2000,3000,3000,0.208864
4500,9000,6000,0.208864
2000,3000,4000,0.217296
2000,3000,3000,0.217296
4000,8000,4000,0.242656
2000,3000,3000,0.217296
2000,3000,3000,0.208864
2500,5000,3000,0.434656
2000,4000,2000,0.071055
2500,5000,3000,0.177700
3000,6000,5000,0.208864
2000,3000,2000,0.635152
2000,3000,4000,0.217296
3000,6000,4000,0.584496
2000,3000,2000,0.434720
3000,6000,5000,0.200432
2500,5000,3000,0.208864
2000,3000,3000,0.216971
2000,4000,4000,0.192370
3000,6000,7000,0.176295
2500,5000,3000,0.443088
2000,4000,3000,0.692801
2000,4000,3000,0.208864
3000,6000,4000,0.208864
2000,3000,3000,0.217296
2000,3000,3000,0.225728
2000,3000,3000,0.208864
2000,4000,3000,0.225728
2000,3000,3000,0.867068
2000,4000,3000,0.208864
2000,3000,2000,0.225728
4500,9000,4000,0.401056
2000,3000,3000,0.502427
2000,3000,2000,0.225792
2000,3000,3000,0.208864
2000,4000,4000,0.012572
2000,4000,1000,0.626848
3500,7000,3000,0.643520
2000,4000,3000,0.217296
2000,4000,4000,0.244369
2000,3000,2000,0.434720
4000,8000,4000,0.417792
2000,3000,4000,0.122948
2000,3000,3000,0.208864
2000,3000,3000,0.217296
2000,3000,3000,0.208864
2000,4000,2000,0.846390
3000,6000,2000,0.578990
2500,5000,2000,0.613616
2000,3000,4000,0.416380
2000,3000,2000,0.626720
2000,3000,3000,0.208864
2000,4000,2000,0.417856
2000,3000,3000,0.208864
2000,4000,3000,0.208864
2000,3000,3000,0.216800
4000,8000,4000,0.365344
2000,3000,3000,0.208864
2000,4000,3000,0.434720
2000,4000,3000,0.208864
2500,5000,4000,0.384128
2000,3000,3000,0.208864
2000,3000,3000,0.208864
2000,3000,3000,0.208864
2000,4000,4000,0.400992
3000,6000,1000,0.639128
4500,9000,4000,0.217296
2000,3000,3000,0.208864
2000,3000,2000,0.848282
2000,4000,3000,0.234160
2000,3000,3000,0.217296
2000,3000,3000,0.208864
2000,3000,2000,0.217296
2000,3000,4000,0.033664
2000,3000,3000,0.225728
10000,20000,9000,0.335408
3500,7000,4000,0.234160
3000,6000,6000,0.187335
2000,3000,4000,0.217296
3000,6000,5000,0.138962
2000,3000,3000,0.208864
3000,6000,4000,0.355671
2000,3000,3000,0.208864
2000,3000,3000,0.234224
2000,3000,3000,0.217296
2000,3000,3000,0.208864
2000,4000,3000,0.217296
2000,3000,3000,0.592000
2000,3000,3000,0.208304
2000,3000,3000,0.143311
2000,3000,3000,0.208864
2000,3000,3000,0.208864
2000,3000,3000,0.033664
2000,4000,2000,0.400928
2000,4000,4000,0.217296
2500,5000,3000,0.426224
2000,3000,1000,0.835712
2000,3000,3000,0.234160
2000,3000,3000,0.139085
2000,4000,1000,0.601424
4500,9000,5000,0.477458
2000,3000,4000,0.409296
2000,3000,3000,0.208864
2000,3000,4000,0.189050
2000,3000,4000,0.033664
2000,3000,3000,0.192025
4500,9000,3000,0.434720
2000,4000,5000,0.137677
2000,4000,2000,0.715745
2500,5000,2000,0.217296
2000,4000,3000,0.208864
2000,3000,3000,0.208864
2000,4000,3000,0.208864
2000,3000,3000,0.208864
2000,3000,1000,0.626720
2500,5000,5000,0.208864
2000,3000,4000,0.208864
2000,3000,3000,0.217296
4500,9000,5000,0.234160
2000,3000,2000,0.626720
2000,3000,3000,0.202318
2000,3000,3000,0.192201
2000,3000,3000,0.187059
2000,3000,3000,0.208864
2500,5000,4000,0.217296
2000,3000,3000,0.295130
3500,7000,1000,0.643776
2000,4000,2000,0.426224
2500,5000,3000,0.417792
2000,3000,3000,0.393613
2000,4000,2000,0.217296
2500,5000,3000,0.558802
2500,5000,3000,0.644576
2500,5000,3000,0.426160
3500,7000,4000,0.469026
2000,3000,2000,0.707327
2000,3000,3000,0.217296
2000,4000,3000,0.208864
2000,3000,3000,0.408800
2000,3000,2000,0.434592
3500,7000,4000,0.343840
2500,5000,2000,0.434592
2500,5000,4000,0.208864
2000,3000,3000,0.208864
2000,3000,3000,0.179226
2000,4000,1000,0.786613
2000,3000,3000,0.208864
