ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery,,,,
12800,14000,12800,0.584624,,,208.864,0.25
4500,9000,4500,0.691233,,,265.016,0.5
2000,3000,2000,0.692632,,,478.217,0.75
2000,3000,2000,0.370715,,,726.4752,0.9
2000,3000,2000,0.217296,,,835.2812,0.95
2500,5000,2500,0.843584,,,935.00416,0.99
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.722505,,,,
2000,4000,2000,0.208864,,,,
2000,4000,2000,0.225728,,,,
22400,26000,22400,0.267824,,,,
17600,20000,17600,0.41792,,,,
13600,16000,13600,0.192064,,,,
11200,12000,11200,0.234529,,,,
3000,6000,3000,0.635152,,,,
2000,3000,2000,0.176123,,,,
2000,3000,2000,0.236705,,,,
2500,5000,2500,0.217232,,,,
3000,6000,3000,0.208864,,,,
2000,3000,2000,0.226288,,,,
2000,4000,2000,0.838759,,,,
31200,37000,31200,0.262047,,,,
4000,8000,4000,0.417792,,,,
3000,6000,3000,0.208864,,,,
2000,3000,2000,0.538838,,,,
2000,3000,2000,0.771651,,,,
2000,3000,2000,0.733147,,,,
2000,3000,2000,0.91834,,,,
20000,23000,20000,0.510672,,,,
16000,18000,16000,0.384192,,,,
12800,15000,12800,0.401056,,,,
4500,9000,4500,0.341968,,,,
2000,4000,2000,0.335334,,,,
2000,4000,2000,0.729152,,,,
2000,3000,2000,0.232692,,,,
2000,3000,2000,0.618224,,,,
2000,3000,2000,0.033664,,,,
2000,3000,2000,0.829996,,,,
2000,3000,2000,0.408864,,,,
2000,4000,2000,0.135377,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.417792,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.525057,,,,
2000,3000,2000,0.400928,,,,
3000,6000,3000,0.119599,,,,
4500,9000,4500,0.409424,,,,
2000,3000,2000,0.435986,,,,
2000,3000,2000,0.62672,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.618224,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.408368,,,,
2500,5000,2500,0.217296,,,,
2500,5000,2500,0.217728,,,,
4000,8000,4000,0.25952,,,,
2000,3000,2000,0.078242,,,,
2500,5000,2500,0.580025,,,,
2000,3000,2000,0.408864,,,,
2000,3000,2000,0.417792,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.434592,,,,
3000,6000,3000,0.250528,,,,
2500,5000,2500,0.443152,,,,
2000,3000,2000,0.852161,,,,
2000,3000,2000,0.208864,,,,
