ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery
2000,0,2000,0.109665
2000,2000,2000,0.208864
2000,0,2000,0.045726
2000,0,2000,0.486607
2000,0,2000,0.096288
2000,1000,2000,0.096160
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,2000,2000,0.835648
2000,2000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.944795
2000,0,2000,0.334879
2000,2000,2000,0.626720
2000,1000,2000,0.048935
2000,1000,2000,0.194852
2000,1000,2000,0.208864
2000,1000,2000,0.355974
2000,2000,2000,0.045553
2000,2000,2000,0.835648
2000,0,2000,0.104600
2000,2000,2000,0.208864
2000,2000,2000,0.929353
2000,2000,2000,0.208864
2000,2000,2000,0.452027
2000,0,2000,0.217296
2000,1000,2000,0.044900
2000,1000,2000,0.044900
2000,2000,2000,0.208864
2000,1000,2000,0.142036
2000,1000,2000,0.217296
2000,0,2000,0.277222
2000,1000,2000,0.208864
2000,0,2000,0.101417
2000,1000,2000,0.208864
2000,2000,2000,0.208864
2000,0,2000,0.023527
2000,2000,2000,0.225792
2000,1000,2000,0.047821
2000,0,2000,0.208864
2000,2000,2000,0.703873
2000,2000,2000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.015450
2000,2000,2000,0.291801
2000,2000,2000,0.205879
2000,0,2000,0.007090
2000,2000,2000,0.845889
2000,1000,2000,0.191413
2000,1000,2000,0.208864
2000,1000,2000,0.195358
2000,1000,2000,0.208864
2000,1000,2000,0.835648
2000,0,2000,0.103780
2000,1000,2000,0.208864
2000,0,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.486496
2000,0,2000,0.069136
2000,1000,2000,0.835648
2000,1000,2000,0.409360
5500,11000,5500,0.407712
2000,2000,2000,0.835648
2000,2000,2000,0.409424
2000,1000,2000,0.208864
2000,0,2000,0.111247
2000,0,2000,0.208864
2000,2000,2000,0.417792
2000,1000,2000,0.126938
2000,1000,2000,0.208864
2000,0,2000,0.080864
2000,1000,2000,0.185610
2000,0,2000,0.426224
2000,1000,2000,0.208864
2000,2000,2000,0.197146
2000,2000,2000,0.217296
2000,1000,2000,0.004974
2000,1000,2000,0.196820
2000,2000,2000,0.208864
2000,1000,2000,0.168649
2000,2000,2000,0.408463
2000,1000,2000,0.157825
2000,1000,2000,0.217296
2000,1000,2000,0.101991
2000,0,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.479243
2000,2000,2000,0.523010
2000,2000,2000,0.426288
2000,2000,2000,0.208864
2000,1000,2000,0.208864
2000,2000,2000,0.876181
2000,0,2000,0.032101
2000,1000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.956865
2000,0,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.028272
2000,1000,2000,0.835648
2000,1000,2000,0.217296
2000,2000,2000,0.476043
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.202526
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.041649
2000,1000,2000,0.190939
2000,2000,2000,0.400432
2000,0,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.626720
2000,2000,2000,0.173145
2000,1000,2000,0.181509
2000,2000,2000,0.635152
2000,1000,2000,0.274890
2000,2000,2000,0.871976
