ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery
5000,10000,5000,0.642995
2000,1000,2000,0.208864
2000,2000,2000,0.472704
2000,1000,2000,0.185209
2000,2000,2000,0.208864
2000,1000,2000,0.208864
2000,2000,2000,0.208864
2000,0,2000,0.208864
2000,2000,2000,0.626720
2000,1000,2000,0.029760
2000,1000,2000,0.179053
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,2000,2000,0.431401
2000,2000,2000,0.410261
2000,0,2000,0.155550
2000,1000,2000,0.129268
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.750270
2000,1000,2000,0.835648
2000,0,2000,0.031639
2000,1000,2000,0.208864
2000,1000,2000,0.744463
2000,0,2000,0.217296
2000,1000,2000,0.045457
2000,1000,2000,0.045457
2000,2000,2000,0.208864
2000,1000,2000,0.141417
2000,1000,2000,0.217296
2000,0,2000,0.277214
2000,1000,2000,0.208864
2000,0,2000,0.101418
2000,1000,2000,0.208864
2000,2000,2000,0.208864
2000,0,2000,0.025108
2000,2000,2000,0.225792
2000,1000,2000,0.048147
2000,0,2000,0.208864
2000,2000,2000,0.703444
2000,2000,2000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.013898
2000,2000,2000,0.292855
5500,11000,5500,0.443024
2000,2000,2000,0.208864
2000,2000,2000,0.843405
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.217296
2000,2000,2000,0.207858
2000,2000,3000,0.208864
2000,1000,2000,0.111922
2000,2000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.141577
2000,1000,2000,0.421176
2000,0,2000,0.003816
5500,11000,5500,0.407712
2000,2000,2000,0.208864
2000,2000,2000,0.225728
2000,1000,2000,0.208864
2000,2000,2000,0.531950
2000,2000,2000,0.501035
2000,1000,2000,0.906058
2000,1000,2000,0.951417
2000,2000,2000,0.426224
2000,0,2000,0.202000
2000,1000,2000,0.128865
2000,2000,2000,0.713535
2000,2000,2000,0.803162
2000,2000,2000,0.225728
2000,1000,2000,0.154248
2000,1000,2000,0.095661
2000,2000,2000,0.895975
2000,1000,2000,0.155056
2000,2000,2000,0.392831
2000,1000,2000,0.217296
2000,1000,2000,0.101028
2000,0,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.479265
2000,2000,2000,0.523460
2000,2000,2000,0.426288
2000,2000,2000,0.208864
2000,1000,2000,0.208864
2000,2000,2000,0.875778
2000,0,2000,0.031698
2000,1000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.956406
2000,0,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.028272
2000,1000,2000,0.835648
2000,1000,2000,0.217296
2000,2000,2000,0.476043
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.202526
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.041649
2000,1000,2000,0.190939
2000,2000,2000,0.400432
2000,0,2000,0.208864
2000,2000,3000,0.208864
2000,2000,2000,0.626720
2000,2000,3000,0.173145
2000,1000,2000,0.181509
2000,2000,0,0.635152
2000,1000,2000,0.281015
2000,2000,2000,0.872651
2000,1000,2000,0.208864
2000,2000,2000,0.409424
2000,1000,2000,0.208864
2000,0,2000,0.208864
2000,1000,2000,0.144488
2000,2000,2000,0.090613
2000,2000,2000,0.208864
2000,2000,2000,0.408928
2000,0,2000,0.244467
2000,2000,3000,0.212643
2000,1000,2000,0.183242
2000,0,2000,0.100719
2000,2000,2000,0.835648
5500,11000,5500,0.669053
2000,2000,3000,0.145713
2000,2000,2000,0.409424
2000,2000,2000,0.333586
2000,2000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.315475
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,2000,2000,0.208864
2000,0,2000,0.208864
