ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery
12800,14000,6000,0.460016
4500,9000,1000,0.613024
2000,3000,3000,0.199349
2000,3000,3000,0.172959
2000,4000,3000,0.208864
2000,4000,2000,0.812500
2000,4000,3000,0.208864
3500,7000,2000,0.618224
2000,3000,2000,0.449590
2000,3000,3000,0.208864
2500,5000,4000,0.208864
22400,26000,20000,0.276256
17600,20000,17000,0.217296
13600,16000,14000,0.217296
13600,16000,14000,0.175169
2000,3000,4000,0.044763
2000,4000,2000,0.251152
2000,4000,3000,0.592928
2000,3000,3000,0.208864
31200,37000,29000,0.262047
12800,13000,12000,0.079481
2000,4000,3000,0.400992
2000,3000,3000,0.823493
2000,3000,3000,0.349057
2000,3000,2000,0.417792
2000,3000,3000,0.238743
2000,3000,2000,0.217296
20000,23000,10000,0.468448
16000,18000,13000,0.451584
12800,14000,9000,0.546077
2000,4000,3000,0.208864
2000,3000,3000,0.498609
2000,3000,1000,0.635152
2000,3000,3000,0.208864
3000,6000,4000,0.243024
2500,5000,1000,0.417856
2000,3000,3000,0.010773
2500,5000,4000,0.217232
2000,4000,3000,0.643712
3500,7000,3000,0.358704
4500,9000,6000,0.208864
2500,5000,2000,0.460016
2500,5000,1000,0.417792
2000,3000,2000,0.400928
2000,3000,3000,0.717137
2000,4000,3000,0.437444
2500,5000,6000,0.186809
4000,8000,4000,0.242656
2000,4000,3000,0.346604
2000,3000,2000,0.609920
2000,4000,3000,0.444122
3000,6000,2000,0.724188
2500,5000,1000,0.635280
2000,3000,1000,0.400928
2500,5000,2000,0.626784
12000,13000,12000,0.650722
2000,4000,2000,0.817634
2000,4000,5000,0.194887
2000,3000,2000,0.417792
2000,4000,4000,0.033664
2000,3000,3000,0.417296
2000,3000,2000,0.225728
2000,3000,3000,0.208864
2000,3000,3000,0.208864
3000,6000,5000,0.175567
3000,6000,4000,0.217296
11200,12000,5000,0.593056
3500,7000,4000,0.262005
2000,4000,3000,0.417296
2500,5000,4000,0.208864
3000,6000,5000,0.217296
2000,4000,3000,0.208864
2000,3000,3000,0.208864
3000,6000,4000,0.217296
2000,4000,3000,0.217296
2000,4000,4000,0.104042
2000,3000,3000,0.208864
3000,6000,3000,0.251088
2000,3000,3000,0.239471
2000,4000,4000,0.185958
2500,5000,5000,0.217296
2000,4000,3000,0.217296
2500,5000,2000,0.607427
3000,6000,1000,0.887186
3000,6000,2000,0.635408
16800,19000,11000,0.401056
12800,14000,11000,0.205074
3000,6000,4000,0.208864
2000,3000,3000,0.208864
2000,3000,3000,0.208864
2000,4000,2000,0.683065
2000,3000,3000,0.208864
2500,5000,4000,0.225728
2000,3000,4000,0.309906
2000,4000,3000,0.208864
2000,3000,2000,0.400432
13600,15000,12000,0.350400
2000,4000,3000,0.208864
2500,5000,4000,0.208864
2000,4000,3000,0.208864
