ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery,,,,
2000,3000,2000,0.031823,,,208.864,0.25
2000,3000,3000,0.033664,,,234.16,0.5
2000,4000,4000,0.033664,,,575.7275,0.75
2000,3000,3000,0.033664,,,765.5134,0.9
2000,3000,3000,0.033664,,,844.728,0.95
2000,3000,3000,0.034096,,,958.0289,0.99
2000,3000,3000,0.038586,,,,
2000,3000,3000,0.043942,,,,
2500,5000,5000,0.050592,,,,
2000,4000,5000,0.05896,,,,
3500,7000,5000,0.05896,,,,
3000,6000,5000,0.059024,,,,
2500,5000,4000,0.059935,,,,
3000,6000,3000,0.07206,,,,
2000,3000,1000,0.076305,,,,
2000,3000,3000,0.078963,,,,
2000,3000,1000,0.07985,,,,
2000,3000,1000,0.083884,,,,
2000,3000,4000,0.089339,,,,
2000,3000,3000,0.095476,,,,
2000,4000,4000,0.097621,,,,
2000,3000,3000,0.101372,,,,
3000,6000,2000,0.10515,,,,
2000,3000,2000,0.110258,,,,
2000,3000,3000,0.111328,,,,
2000,4000,4000,0.11209,,,,
2500,5000,3000,0.112546,,,,
2000,3000,2000,0.118351,,,,
2000,4000,5000,0.120482,,,,
2000,3000,1000,0.122552,,,,
2000,3000,1000,0.123044,,,,
2000,4000,4000,0.124887,,,,
2500,5000,4000,0.130722,,,,
2500,5000,4000,0.135078,,,,
3000,6000,2000,0.136247,,,,
3000,6000,6000,0.136369,,,,
3500,7000,3000,0.137039,,,,
2000,3000,3000,0.137307,,,,
12800,15000,7000,0.13805,,,,
2500,5000,3000,0.142231,,,,
2000,3000,1000,0.142801,,,,
2000,4000,4000,0.145104,,,,
2000,3000,2000,0.146523,,,,
2000,3000,2000,0.14716,,,,
2500,5000,3000,0.147704,,,,
2000,4000,4000,0.148027,,,,
2000,4000,4000,0.152848,,,,
2000,3000,1000,0.152984,,,,
3000,6000,3000,0.154681,,,,
4500,9000,4000,0.155253,,,,
3000,6000,5000,0.156281,,,,
2000,4000,3000,0.157012,,,,
2500,5000,5000,0.158213,,,,
2000,3000,3000,0.158845,,,,
2000,4000,4000,0.159035,,,,
2000,4000,4000,0.160145,,,,
2000,3000,3000,0.160431,,,,
2000,4000,5000,0.16058,,,,
2500,5000,3000,0.162537,,,,
