ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery
12800,14000,12000,0.584624
2000,3000,2000,0.632104
2000,4000,2000,0.187981
2000,3000,2000,0.456528
2000,3000,2000,0.208864
3000,6000,3000,0.217296
2000,4000,2000,0.417856
2000,3000,2000,0.208864
2000,4000,2000,0.719260
2000,4000,2000,0.208864
2000,4000,2000,0.225728
22400,26000,22400,0.276256
17600,20000,17600,0.401056
13600,16000,13600,0.208864
11200,12000,11200,0.508048
2000,4000,2000,0.227526
2000,4000,3000,0.033728
2500,5000,2500,0.208864
2000,4000,2000,0.208864
2000,4000,2000,0.208864
31200,37000,31200,0.262047
4000,8000,4000,0.417792
3000,6000,3000,0.208864
2000,3000,2000,0.538934
2000,3000,2000,0.770408
2000,3000,2000,0.733181
2000,3000,2000,0.919222
20000,23000,20000,0.510672
16000,18000,16000,0.384192
12800,15000,12800,0.384128
3000,6000,3000,0.475008
2000,3000,2000,0.208864
2000,4000,3000,0.242266
2000,4000,3000,0.033664
2000,3000,2000,0.148475
2000,3000,2000,0.166905
2000,4000,2000,0.426288
2500,5000,2500,0.208864
2500,5000,2500,0.426224
2000,4000,2000,0.208864
2000,3000,2000,0.643520
4500,9000,4500,0.208864
2000,3000,2000,0.194499
2000,3000,2000,0.218417
2000,3000,3000,0.146383
2500,5000,2500,0.601296
2000,4000,2000,0.202445
2000,3000,2000,0.208864
2000,3000,2000,0.408368
2500,5000,3000,0.217296
2500,5000,2500,0.217728
4000,8000,4000,0.259520
2000,3000,4000,0.078242
2500,5000,2500,0.580025
2000,3000,2000,0.408864
2000,3000,2000,0.417792
2000,3000,2000,0.208864
2000,3000,2000,0.208864
2000,4000,2000,0.434592
3000,6000,3000,0.250528
2500,5000,2500,0.443152
2000,3000,2000,0.852161
2000,3000,2000,0.208864
12000,13000,12000,0.650722
2000,3000,2000,0.445990
3000,6000,3000,0.217296
2000,3000,2000,0.893653
2000,3000,2000,0.217296
2000,3000,3000,0.409232
2000,3000,2000,0.282732
2000,3000,2000,0.216800
2000,3000,2000,0.703026
2500,5000,2500,0.234160
2000,3000,2000,0.766546
2500,5000,2500,0.217232
11200,12000,11200,0.593120
4500,9000,4500,0.626912
3000,6000,3000,0.409360
2000,3000,3000,0.417439
3000,6000,3000,0.225728
2000,4000,2000,0.749099
2000,3000,2000,0.208864
2000,3000,2000,0.216864
2000,3000,2000,0.217296
2000,4000,2000,0.426288
2000,3000,3000,0.217296
2000,4000,2000,0.208864
2000,4000,2000,0.217296
2000,3000,2000,0.165447
2000,4000,5000,0.154145
4000,8000,4000,0.234160
2000,4000,2000,0.217296
2500,5000,2500,0.476245
2000,4000,2000,0.574446
2000,4000,2000,0.217296
16800,19000,16800,0.401056
12800,14000,10000,0.375632
3000,6000,3000,0.217296
2500,5000,2500,0.626720
3000,6000,3000,0.538894
3000,6000,3000,0.208864
3000,6000,3000,0.208864
2000,4000,2000,0.417856
2500,5000,2500,0.216800
13600,15000,13600,0.350336
3500,7000,3500,6.167590
3500,7000,3500,0.392496
2000,3000,2000,0.208864
2000,3000,2000,0.216800
2000,4000,2000,0.409424
2000,3000,2000,0.339059
3000,6000,3000,0.417792
2500,5000,2500,0.208864
2000,3000,3000,0.225664
3000,6000,3000,0.259520
2000,4000,2000,0.402090
2000,4000,2000,0.417792
2500,5000,2500,0.426224
2000,4000,2000,0.217296
2000,3000,2000,0.217232
2000,4000,2000,0.369475
2000,3000,2000,0.225664
13600,15000,13600,0.225728
2000,4000,2000,0.706748
2000,3000,2000,0.208864
2000,3000,2000,0.208864
2500,5000,2500,0.643088
2000,4000,2000,0.208864
2000,4000,3000,0.182344
2000,3000,2000,0.638240
2000,3000,4000,0.161850
2000,3000,2000,0.216864
2000,3000,2000,0.208864
2500,5000,2500,0.643648
2000,4000,2000,0.360307
2000,3000,2000,0.208864
12800,13000,12800,0.451584
2000,3000,2000,0.208864
2000,4000,3000,0.597367
2000,3000,2000,0.216800
3000,6000,3000,0.392496
2000,3000,2000,0.832671
3000,6000,3000,0.267952
2000,3000,2000,0.417792
2000,3000,2000,0.216800
2000,4000,2000,0.409424
4500,9000,4500,0.400992
2000,4000,2000,0.208864
2000,3000,3000,0.044787
2000,3000,2000,0.226288
2000,3000,2000,0.217296
2000,3000,2000,0.208864
2000,4000,5000,0.127120
2000,3000,2000,0.208864
2000,4000,2000,0.652448
2000,3000,2000,0.208864
2000,3000,2000,0.208864
2000,3000,2000,0.208864
3500,7000,3500,0.756735
4500,9000,4500,0.217296
2000,3000,2000,0.208864
2000,3000,2000,0.221452
2000,3000,2000,0.657881
2500,5000,2500,0.225728
2500,5000,3112,0.302492
2000,3000,3000,0.426787
2500,5000,2500,0.208864
4000,8000,4000,0.426288
2000,4000,2000,0.208864
2000,3000,4000,0.002093
2000,3000,2000,0.338798
2000,4000,2000,0.345483
2000,3000,2000,0.208864
2500,5000,2500,0.208864
2000,3000,3000,0.200368
2000,4000,2000,0.609296
12800,14000,12800,0.754382
3500,7000,3500,0.398342
2000,3000,2000,0.225728
3500,7000,3500,0.208864
2500,5000,2500,0.145601
