ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery,,,,
2000,1000,2000,0.203451,,,181.5375,0.25
2000,1000,1000,0.217691,,,208.864,0.5
2000,1000,1000,0.208864,,,396.6445,0.75
2000,1000,1000,0.896164,,,803.6182,0.9
2000,1000,1000,0.208864,,,895.2766,0.95
2000,1000,1000,0.658584,,,993.135120000001,0.99
2000,2000,2000,0.109694,,,,
2000,1000,1000,0.208864,,,,
2000,2000,2000,0.208864,,,,
2000,1000,1000,0.088198,,,,
2000,1000,1000,0.922696,,,,
2000,2000,1000,0.208864,,,,
2000,1000,2000,0.027502,,,,
2000,1000,1000,0.911934,,,,
2000,1000,1000,0.940926,,,,
2000,1000,1000,0.208864,,,,
2000,2000,2000,0.208864,,,,
2000,1000,1000,0.453796,,,,
2000,2000,1000,0.426472,,,,
2000,1000,0,0.417792,,,,
2000,1000,2000,0.042507,,,,
2000,2000,1000,0.251563,,,,
2000,0,2000,0.107856,,,,
2000,0,2000,0.09797,,,,
2000,2000,2000,0.114304,,,,
2000,1000,1000,0.208864,,,,
2000,1000,1000,0.208864,,,,
2000,1000,1000,0.036966,,,,
2000,1000,2000,0.01739,,,,
2000,2000,2000,0.141549,,,,
2000,0,2000,0.208864,,,,
2000,1000,2000,0.208864,,,,
2000,1000,2000,0.208864,,,,
2000,0,2000,0.217296,,,,
2000,2000,1000,0.208864,,,,
2000,1000,1000,0.859772,,,,
2000,2000,2000,0.492607,,,,
2000,2000,0,0.417792,,,,
2000,2000,1000,0.208864,,,,
5500,11000,2000,0.407712,,,,
2000,1000,1000,0.208864,,,,
2000,1000,0,0.417792,,,,
2000,2000,1000,0.945348,,,,
2000,1000,1000,0.888921,,,,
2000,2000,2000,0.217296,,,,
2000,1000,2000,0.174648,,,,
2000,2000,2000,0.208864,,,,
2000,0,2000,0.110842,,,,
2000,2000,1000,0.39755,,,,
2000,1000,2000,0.238754,,,,
2000,1000,2000,0.16349,,,,
2000,1000,1000,0.124739,,,,
2000,2000,2000,0.309303,,,,
2000,0,2000,0.009299,,,,
2000,0,2000,0.002585,,,,
2000,2000,1000,0.208864,,,,
2000,2000,1000,0.093296,,,,
2000,1000,1000,0.204778,,,,
2000,2000,1000,0.208864,,,,
2000,1000,1000,0.115391,,,,
2000,1000,1000,0.208864,,,,
2000,1000,1000,0.51077,,,,
2000,2000,1000,0.208864,,,,
2000,2000,1000,0.459286,,,,
2000,1000,1000,0.194791,,,,
2000,0,0,0.217296,,,,
2000,1000,1000,0.208864,,,,
2000,1000,1000,0.208864,,,,
2000,1000,1000,0.138237,,,,
2000,2000,0,0.834311,,,,
2000,1000,0,0.417792,,,,
2000,2000,1000,0.753738,,,,
2000,0,2000,0.11009,,,,
2000,1000,2000,0.311548,,,,
2000,1000,1000,0.093547,,,,
2000,1000,0,0.720826,,,,
2000,2000,1000,0.898176,,,,
2000,2000,0,0.417792,,,,
2000,1000,2000,0.135017,,,,
2000,0,2000,0.208864,,,,
2000,2000,2000,0.208864,,,,
2000,1000,2000,0.208864,,,,
2000,2000,1000,0.208864,,,,
2000,1000,1000,0.208864,,,,
2000,1000,2000,0.167757,,,,
2000,0,2000,0.208864,,,,
2000,1000,2000,0.117257,,,,
2000,0,2000,0.115719,,,,
2000,1000,1000,0.208864,,,,
2000,0,2000,0.107287,,,,
2000,2000,1000,0.208864,,,,
2000,1000,1000,0.208864,,,,
2000,2000,0,0.417792,,,,
2000,1000,2000,0.157571,,,,
2000,2000,2000,0.857704,,,,
2000,0,2000,0.038856,,,,
2000,1000,2000,0.173985,,,,
2000,1000,1000,0.06289,,,,
2000,2000,1000,0.894317,,,,
2000,1000,1000,0.894253,,,,
2000,1000,1000,0.921777,,,,
2000,2000,0,0.417792,,,,
2000,1000,1000,0.208864,,,,
2000,2000,1000,0.458277,,,,
2000,2000,1000,0.94948,,,,
2000,1000,2000,0.522246,,,,
2000,2000,2000,0.208864,,,,
2000,2000,1000,0.208864,,,,
2000,1000,1000,0.208864,,,,
2000,1000,1000,0.208864,,,,
2000,1000,2000,0.208864,,,,
2000,1000,1000,0.208864,,,,
2000,2000,0,0.417792,,,,
2000,1000,1000,0.205512,,,,
2000,1000,1000,0.173078,,,,
2000,2000,2000,0.224057,,,,
2000,2000,1000,0.257496,,,,
2000,2000,1000,0.208864,,,,
2000,2000,0,0.65249,,,,
2000,2000,2000,0.110278,,,,
2000,2000,1000,0.246545,,,,
2000,1000,2000,0.002046,,,,
2000,1000,1000,0.208864,,,,
2000,2000,1000,0.895807,,,,
2000,1000,1000,0.20519,,,,
5500,11000,1000,0.669053,,,,
2000,2000,2000,0.111414,,,,
2000,1000,1000,0.208864,,,,
2000,2000,2000,0.186941,,,,
2000,2000,2000,0.421359,,,,
2000,2000,1000,0.208864,,,,
2000,1000,1000,0.208864,,,,
2000,1000,2000,0.27027,,,,
2000,2000,1000,0.208864,,,,
2000,0,2000,0.013726,,,,
2000,1000,2000,0.181405,,,,
2000,2000,1000,0.208864,,,,
2000,2000,1000,0.887321,,,,
