ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery
12800,14000,2000,0.771296
2000,4000,3000,0.782866
2000,4000,1000,0.208864
2000,3000,2000,0.201611
2000,3000,3000,0.217232
2000,3000,0,0.783850
2000,3000,1000,0.208864
2500,5000,0,0.906719
2500,5000,3000,0.225728
2000,3000,2000,0.208864
2000,4000,1000,0.217296
22400,26000,1000,0.276256
17600,20000,1000,0.417792
13600,16000,1000,0.417792
11200,12000,0,0.417792
11200,12000,1000,0.633517
2000,3000,1000,0.208864
2000,3000,0,0.417792
2000,4000,1000,0.417792
2000,4000,2000,0.208864
2000,3000,2000,0.844468
2000,3000,1000,0.208864
31200,37000,11000,0.262047
2500,5000,1000,0.644688
2000,3000,1000,0.208864
2000,4000,4000,0.208864
2500,5000,0,0.417792
2000,3000,1000,0.412255
2000,3000,1000,0.208864
2000,3000,1000,0.208864
2000,4000,1000,0.243730
2000,3000,2000,0.573061
2500,5000,1000,0.510936
20000,23000,1000,0.620619
2000,3000,2000,0.208864
2500,5000,0,0.672246
2000,3000,1000,0.217296
2000,4000,2000,0.208864
2000,3000,1000,0.499159
2500,5000,2000,0.302210
2000,3000,1000,0.903943
2000,3000,2000,0.633558
2000,4000,2000,0.217296
2000,3000,1000,0.122552
3000,6000,1000,0.243024
2500,5000,4000,0.234160
2000,4000,2000,0.217296
2000,4000,2000,0.208864
2000,3000,4000,0.089339
2500,5000,3000,0.217232
2000,4000,2000,0.208864
2000,4000,0,0.747058
4500,9000,4000,0.242592
2000,3000,2000,0.181717
2000,3000,1000,0.182794
2000,3000,0,0.755001
2000,3000,1000,0.877546
2000,3000,1000,0.208864
3000,6000,5000,0.217296
4000,8000,1000,0.251088
2000,4000,0,0.417792
2000,3000,0,0.762157
3000,6000,2000,0.234224
2500,5000,0,0.745513
2000,4000,0,0.457105
12000,13000,1000,0.650722
2000,3000,1000,0.208864
2000,3000,1000,0.217296
2000,3000,3000,0.217232
2000,3000,0,0.917890
2000,3000,3000,0.409232
2000,3000,1000,0.275030
3000,6000,1000,0.259520
2500,5000,3000,0.234160
2000,3000,1000,0.767191
2000,3000,1000,0.194221
11200,12000,1000,0.713589
2000,3000,3000,0.230257
2500,5000,3000,0.217296
2500,5000,4000,0.207643
2000,4000,3000,0.225728
2500,5000,4000,0.426160
2000,3000,1000,0.337730
2500,5000,2000,0.225728
3000,6000,5000,0.217296
2000,4000,2000,0.336443
2000,4000,3000,0.208864
3500,7000,3000,0.400928
2000,3000,1000,0.208864
2000,3000,3000,0.217296
2500,5000,3000,0.214091
2000,4000,2000,0.515516
2500,5000,4000,0.225728
2000,3000,2000,0.216800
16800,19000,0,0.562287
2000,3000,1000,0.217296
2500,5000,1000,0.756830
2000,3000,1000,0.217296
2000,3000,2000,0.201702
2000,3000,2000,0.208864
2500,5000,2000,0.345846
2500,5000,3000,0.358058
4000,8000,4000,0.208864
2000,4000,1000,0.426224
2500,5000,3000,0.216800
13600,15000,1000,0.434592
2000,3000,1000,0.208864
2500,5000,2000,0.208864
2000,3000,1000,0.208864
2000,3000,2000,0.208864
2000,3000,1000,0.208864
2000,3000,0,0.417792
2000,3000,1000,0.358183
2000,3000,3000,0.263438
2500,5000,3000,0.208864
3000,6000,0,0.242656
2000,4000,2000,0.495442
2500,5000,0,0.827584
2000,3000,1000,0.208864
2000,3000,1000,0.228449
2000,3000,1000,0.217232
2000,4000,1000,0.383406
13600,15000,1000,0.225728
2500,5000,0,0.552279
2000,3000,4000,0.217296
2500,5000,0,0.451520
2000,3000,2000,0.208864
2000,3000,1000,0.320389
2000,4000,1000,0.217296
2500,5000,3000,0.234160
2000,3000,1000,0.217232
2500,5000,2000,0.454757
2000,3000,0,0.950530
12800,13000,0,0.652016
2000,4000,2000,0.600496
2000,3000,1000,0.216800
3000,6000,0,0.367136
