ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery
2000,2000,3000,0.445886
2000,2000,2000,0.626720
2000,2000,3000,0.208864
2000,1000,2000,0.208864
2000,2000,3000,0.208864
2000,0,2000,0.042034
2000,1000,2000,0.205181
2000,2000,3000,0.185813
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.934358
2000,0,2000,0.035165
2000,2000,3000,0.208864
2000,0,2000,0.208864
2000,2000,3000,0.208864
2000,1000,2000,0.180035
2000,1000,3000,0.441353
2000,2000,3000,0.208864
2000,2000,3000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.032080
2000,1000,2000,0.208864
2000,0,2000,0.208864
2000,2000,2000,0.188810
2000,0,2000,0.135710
2000,1000,2000,0.482821
2000,2000,2000,0.635216
2000,1000,2000,0.189680
2000,1000,2000,0.208864
2000,2000,1000,0.902375
2000,2000,3000,0.208864
2000,1000,2000,0.208864
5000,10000,6000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,0,1000,0.217296
2000,1000,2000,0.127288
2000,1000,2000,0.126871
2000,0,2000,0.485584
2000,1000,2000,0.017224
2000,2000,2000,0.208864
2000,0,2000,0.167423
2000,2000,3000,0.071941
2000,2000,3000,0.208864
2000,1000,2000,0.208864
2000,2000,1000,0.417792
5500,11000,5000,0.407712
2000,1000,2000,0.324977
2000,2000,1000,0.225728
2000,1000,2000,0.208864
2000,2000,3000,0.208864
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,2000,2000,0.400928
2000,2000,2000,0.391398
2000,0,2000,0.053924
2000,1000,2000,0.024387
2000,2000,3000,0.076552
2000,1000,2000,0.208864
2000,2000,3000,0.208864
2000,2000,1000,0.626720
2000,2000,3000,0.208864
2000,2000,3000,0.080496
2000,2000,2000,0.905211
2000,0,2000,0.061256
2000,2000,3000,0.208864
2000,2000,3000,0.208864
2000,2000,3000,0.208864
2000,0,2000,0.027818
2000,1000,2000,0.133207
2000,2000,3000,0.208864
2000,1000,2000,0.208864
2000,2000,2000,0.635152
2000,2000,2000,0.208864
2000,2000,2000,0.217296
2000,1000,2000,0.208864
2000,2000,2000,0.835840
2000,0,2000,0.088420
2000,2000,2000,0.626720
2000,1000,2000,0.353889
2000,2000,3000,0.208864
2000,1000,2000,0.208864
2000,2000,3000,0.208864
2000,0,2000,0.208864
2000,0,2000,0.108376
2000,1000,2000,0.051735
2000,1000,2000,0.208864
2000,1000,2000,0.201244
2000,1000,2000,0.192812
2000,1000,2000,0.208864
2000,2000,3000,0.208864
2000,2000,3000,0.177742
2000,2000,3000,0.208864
2000,1000,2000,0.016009
2000,1000,2000,0.127971
2000,1000,2000,0.656012
2000,2000,3000,0.208864
2000,1000,2000,0.206007
2000,1000,2000,0.088839
2000,0,2000,0.097399
2000,1000,2000,0.181464
2000,0,2000,0.162812
2000,2000,3000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.036222
2000,1000,2000,0.200709
2000,2000,2000,0.894385
2000,0,2000,0.208864
2000,0,2000,0.093386
2000,2000,2000,0.896543
2000,2000,3000,0.208864
2000,1000,1000,0.835648
2000,1000,2000,0.208864
2000,0,2000,0.087931
2000,1000,2000,0.310127
2000,1000,2000,0.658619
5500,11000,2000,0.626784
2000,1000,2000,0.035832
2000,2000,3000,0.208864
2000,1000,2000,0.117349
2000,1000,2000,0.208864
2000,2000,3000,0.694362
2000,2000,3000,0.949287
2000,1000,2000,0.687212
2000,2000,3000,0.208864
2000,1000,2000,0.087274
2000,1000,2000,0.226762
2000,1000,2000,0.158009
2000,1000,2000,0.108659
2000,2000,3000,0.208864
2000,2000,3000,0.208864
2000,0,2000,0.040662
2000,1000,2000,0.208864
5500,11000,4000,0.514674
2000,1000,2000,0.208864
2000,1000,2000,0.210117
2000,1000,2000,0.208864
2000,0,2000,0.003390
2000,1000,2000,0.179990
2000,0,2000,0.081120
2000,2000,3000,0.208864
2000,1000,2000,0.208864
2000,2000,3000,0.208864
2000,2000,2000,0.217296
2000,1000,2000,0.208864
2000,0,2000,0.533934
6000,12000,3000,0.610112
2000,2000,3000,0.208864
2000,2000,2000,0.818784
2000,2000,3000,0.225728
2000,1000,2000,0.208864
2000,2000,3000,0.225728
2000,2000,3000,0.133274
2000,1000,2000,0.001120
2000,1000,2000,0.124991
2000,2000,2000,0.559711
2000,2000,3000,0.208864
2000,0,2000,0.098899
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,0,2000,0.098240
2000,1000,2000,0.095419
2000,0,2000,0.115250
5500,11000,6000,0.225664
2000,2000,3000,0.208864
2000,0,2000,0.086003
2000,2000,3000,0.208864
2000,1000,2000,0.526728
2000,1000,1000,0.217296
2000,1000,2000,0.208864
2000,1000,2000,0.208864
2000,2000,2000,0.626848
2000,2000,3000,0.208864
2000,1000,2000,0.145986
2000,1000,2000,0.193499
2000,2000,3000,0.208864
5000,10000,6000,0.208864
2000,1000,2000,0.123537
2000,2000,3000,0.208864
2000,2000,1000,0.225792
2000,1000,1000,0.626720
2000,0,2000,0.089377
2000,2000,3000,0.492736
2000,2000,3000,0.208864
2000,2000,3000,0.208864
5000,10000,5000,0.225728
2000,1000,2000,0.086700
2000,1000,2000,0.047112
2000,2000,3000,0.002088
