ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery
12800,14000,5000,0.584624
4000,8000,2000,0.678859
2500,5000,3000,0.434656
2000,4000,2000,0.713846
2000,4000,3000,0.208864
2000,4000,2000,0.814979
2000,4000,3000,0.653403
2000,4000,1000,0.795715
22400,26000,20000,0.276256
17600,20000,17000,0.217296
13600,15000,11000,0.335408
11200,12000,9000,0.377632
11200,12000,10000,0.263806
2000,3000,3000,0.282455
2000,4000,3000,0.208864
2000,4000,2000,0.251152
2000,4000,2000,0.609920
2000,3000,2000,0.708161
31200,37000,29000,0.262047
12800,13000,12000,0.079481
2000,4000,3000,0.208928
2000,3000,3000,0.862016
2000,4000,1000,0.831992
2000,3000,1000,0.409424
2000,3000,3000,0.231543
2500,5000,5000,0.059456
2000,3000,1000,0.828548
2500,5000,2000,0.941982
20000,23000,10000,0.468448
16000,18000,13000,0.451584
12800,14000,10000,0.417856
2000,3000,2000,0.341840
2000,4000,4000,0.065840
2000,3000,3000,0.200875
2000,4000,4000,0.033664
2000,3000,3000,0.411312
2000,4000,2000,0.734014
2000,3000,3000,0.181205
2000,3000,3000,0.192076
2500,5000,1000,0.417856
2000,3000,3000,0.009520
2500,5000,3000,0.217232
2500,5000,3000,0.350967
4500,9000,5000,0.242592
2000,3000,3000,0.173799
2000,3000,3000,0.217296
2000,3000,3000,0.208864
2000,4000,2000,0.643584
2000,3000,3000,0.208864
2000,4000,2000,0.417792
2500,5000,4000,0.217296
2000,3000,2000,0.869045
2500,5000,3000,0.409792
2000,4000,3000,0.208864
4000,8000,4000,0.251088
2000,4000,3000,0.340883
2000,3000,2000,0.618352
2000,4000,3000,0.443430
3000,6000,2000,0.724585
2500,5000,2000,0.702749
2000,3000,2000,0.184885
2000,3000,3000,0.208864
12000,13000,12000,0.650722
2000,4000,2000,0.817634
2000,4000,4000,0.194887
2500,5000,3000,0.185516
2000,3000,2000,0.833371
2000,3000,3000,0.216800
2000,3000,3000,0.208864
2000,3000,2000,0.434592
2000,3000,2000,0.643584
3000,6000,1000,0.401056
2000,3000,1000,0.400928
2500,5000,4000,0.217232
11200,12000,5000,0.593056
3500,7000,5000,0.262005
2000,4000,3000,0.417296
2500,5000,4000,0.208864
3000,6000,4000,0.217296
2000,4000,3000,0.208864
2000,4000,2000,0.631896
2000,3000,3000,0.217296
2000,4000,3000,0.790721
2000,4000,3000,0.208864
2500,5000,3000,0.217232
3000,6000,3000,0.251088
2000,3000,3000,0.251563
2000,4000,4000,0.181190
2500,5000,4000,0.217296
2500,5000,3000,0.208864
2500,5000,1000,0.620339
3000,6000,3000,0.695708
16800,19000,11000,0.401056
12800,14000,9000,0.267952
2500,5000,3000,0.208864
2000,3000,3000,0.208864
2000,3000,1000,0.789196
2500,5000,3000,0.451520
2000,4000,3000,0.208864
2000,4000,4000,0.217296
2000,3000,3000,0.170035
2000,3000,3000,0.208864
13600,15000,12000,0.350400
2000,3000,3000,8.126090
2000,4000,3000,0.208864
2000,4000,2000,0.643584
2000,4000,2000,0.234224
2000,3000,3000,0.840763
2000,4000,5000,0.158201
2000,4000,3000,0.371966
2000,3000,3000,0.208864
2000,3000,3000,0.208864
3000,6000,3000,0.242656
